Meter_Id,Date,Region_Code,Dwelling_Type,Num_Occupants,House_Area (sqft),Appliance_Score,Connected_Load(kw),Temperature_C,Humidity (%),Expected_Energy(kwh),Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage
IN-KL-ELC-70413205,21-01-2023,IN_KL_ALP,Independent House,6,762,19,5.22,30.15,49.96,20.41 kWh,33.316940419210916 kWh,63.24,17.83,1
IN-KL-ELC-68653537,25-01-2023,IN_KL_ALP,Villa,4,589,19,4.61,35.01,59.78,19.04 kWh,19.84 kWh,4.2,16.26,0
IN-KL-ELC-98944256,19-01-2023,IN_KL_ERN,Apartment,2,658,8,2.64,28.72,75.07,9.98 kWh,10.03 kWh,0.5,16.61,1
IN-KL-ELC-28357262,16-01-2023,IN_KL_ERN,Independent House,4,821,17,6.91,29.06,53.39,18.47 kWh,18.07 kWh,-2.17,16.43,0
IN-KL-ELC-44179469,08-01-2023,IN_KL_ERN,Apartment,1,716,21,7.5,36.23,61.27,18.89 kWh,18.85 kWh,-0.21,16.61,0
IN-KL-ELC-68820657,10-01-2023,IN_KL_ERN,Independent House,4,833,6,4.72,29.02,46.9,13.04 kWh,12.78 kWh,-1.99,16.43,0
IN-KL-ELC-77157976,17-01-2023,IN_KL_ALP,Villa,1,796,13,6.45,26.57,78.64,12.98 kWh,13.07 kWh,0.69,16.26,0
IN-KL-ELC-28177529,29-01-2023,IN_KL_TVM,Independent House,4,2653,11,3.3,33.73,60.71,14.7 kWh,14.56 kWh,-0.95,16.89,0
IN-KL-ELC-12257301,20-01-2023,IN_KL_ERN,Apartment,5,1948,10,4.7,27.41,75.4,15.11 kWh,15.41 kWh,1.99,16.61,0
IN-KL-ELC-85575226,15-01-2023,IN_KL_ERN,Villa,1,1959,10,6.86,39.19,78.01,14.73 kWh,24.143658665219682 kWh,63.91,16.28,1
IN-KL-ELC-94916279,04-01-2023,IN_KL_ERN,Independent House,4,1351,14,3.63,31.48,71.75,15.56 kWh,16.54 kWh,6.3,16.43,0
IN-KL-ELC-60241510,25-01-2023,IN_KL_ERN,Apartment,4,1452,9,6.63,24.78,80.7,14.49 kWh,20.758098633896935 kWh,43.26,16.61,1
IN-KL-ELC-65776530,25-01-2023,IN_KL_ERN,Independent House,2,1793,7,3.51,34.69,49.25,11.22 kWh,18.1744371444189 kWh,61.98,16.43,1
IN-KL-ELC-85195758,28-01-2023,IN_KL_TVM,Apartment,2,1932,21,6.24,32.65,68.79,18.12 kWh,25.986132084234047 kWh,43.41,17.26,1
IN-KL-ELC-77385755,12-01-2023,IN_KL_TVM,Apartment,4,484,19,6.29,36.03,45.04,20.68 kWh,21.54 kWh,4.16,17.26,0
IN-KL-ELC-61622615,01-01-2023,IN_KL_TVM,Apartment,2,1106,8,4.74,29.39,78.58,11.65 kWh,11.23 kWh,-3.61,17.26,1
IN-KL-ELC-13024599,23-01-2023,IN_KL_TVM,Independent House,6,2725,6,6.08,24.11,79.73,15.01 kWh,16.15 kWh,7.59,16.89,0
IN-KL-ELC-46022951,25-01-2023,IN_KL_ALP,Apartment,3,2697,19,4.93,25.65,84.84,15.75 kWh,23.060348541992834 kWh,46.41,16.47,1
IN-KL-ELC-91636239,21-01-2023,IN_KL_ALP,Apartment,5,471,10,3.51,28.38,65.76,14.47 kWh,12.87 kWh,-11.06,16.47,0
IN-KL-ELC-99631077,13-01-2023,IN_KL_ALP,Apartment,4,1597,14,7.89,29.19,80.73,18.19 kWh,null,3.13,16.47,1
IN-KL-ELC-85209853,24-01-2023,IN_KL_ALP,Independent House,2,1630,15,5.71,26.62,57.82,14.18 kWh,21.563779482650936 kWh,52.07,17.83,1
IN-KL-ELC-42948810,06-01-2023,IN_KL_ERN,Independent House,1,1254,16,5.82,29.19,68.01,14.09 kWh,23.24901099535388 kWh,65,16.43,1
IN-KL-ELC-87381788,21-01-2023,IN_KL_TVM,Apartment,1,2433,9,6.06,31.85,46.42,12.33 kWh,15.823502747495171 kWh,28.33,17.26,1
IN-KL-ELC-20492608,03-01-2023,IN_KL_ERN,Villa,4,922,20,3.09,36.35,50.07,18.53 kWh,null,85.52,16.28,1
IN-KL-ELC-54399325,19-01-2023,IN_KL_ERN,Independent House,3,906,7,7.79,29.18,53.01,14.61 kWh,21.60204332778608 kWh,47.86,16.43,1
IN-KL-ELC-31401160,28-01-2023,IN_KL_ERN,Independent House,2,1915,16,6.81,30.12,61.3,16.14 kWh,14.64 kWh,-9.29,16.43,0
IN-KL-ELC-48945390,22-01-2023,IN_KL_ERN,Independent House,2,2034,13,6.02,24.9,75.75,13.36 kWh,13.58 kWh,1.65,16.43,0
IN-KL-ELC-57335079,18-01-2023,IN_KL_ALP,Independent House,6,2319,18,4.08,30.09,63.23,19.19 kWh,23.543912192359972 kWh,22.69,17.83,1
IN-KL-ELC-68653537,26-01-2023,IN_KL_ALP,Villa,4,589,19,4.61,29.38,54.76,null,28.76877105896539 kWh,64.02,16.26,1
IN-KL-ELC-91636239,28-01-2023,IN_KL_ALP,Apartment,5,471,10,3.51,31.14,50.04,15.09 kWh,14.81 kWh,-1.86,16.47,0
IN-KL-ELC-88899266,18-01-2023,IN_KL_ERN,Independent House,2,915,20,3.81,33.2,72.13,15.99 kWh,22.624004469927627 kWh,41.49,16.43,1
IN-KL-ELC-61981697,10-01-2023,IN_KL_ERN,Independent House,4,905,14,4.55,28.66,77.86,15.59 kWh,15.12 kWh,-3.01,16.43,0
IN-KL-ELC-85734885,29-01-2023,IN_KL_ALP,Villa,3,1233,17,7.28,32.13,60.9,18.48 kWh,18.4 kWh,-0.43,16.26,0
IN-KL-ELC-58140776,28-01-2023,IN_KL_ERN,Villa,6,1760,21,3.97,35.06,61.42,21.65 kWh,null,56.04,16.28,1
IN-KL-ELC-60935907,11-01-2023,IN_KL_TVM,Apartment,2,1823,20,3.54,25.57,49.6,14.06 kWh,13.66 kWh,-2.84,17.26,0
IN-KL-ELC-38754500,01-01-2023,IN_KL_ALP,Apartment,2,2100,11,7.15,27.28,63.52,14.02 kWh,15.950705312730447 kWh,13.77,16.47,0
IN-KL-ELC-77063678,08-01-2023,IN_KL_ERN,Independent House,5,1931,14,5.93,31.43,57.88,18.43 kWh,18.83 kWh,2.17,16.43,0
IN-KL-ELC-51961729,04-01-2023,IN_KL_ALP,Apartment,4,450,16,5.7,27.64,55.22,16.86 kWh,24.91461621622812 kWh,47.77,16.47,1
IN-KL-ELC-65873763,26-01-2023,IN_KL_ERN,Apartment,3,513,9,5.83,27.45,61,13.49 kWh,12.03 kWh,-10.82,16.61,0
IN-KL-ELC-74114522,09-01-2023,IN_KL_ERN,Apartment,1,1440,9,5.98,29.27,62.9,11.8 kWh,10.57 kWh,-10.42,16.61,1
IN-KL-ELC-89560912,24-01-2023,IN_KL_ALP,Apartment,4,1618,19,3.41,33.14,57.56,17.6 kWh,17.99 kWh,2.22,16.47,0
IN-KL-ELC-94750240,18-01-2023,IN_KL_TVM,Villa,6,2564,15,3.42,33.36,70.28,18.5 kWh,18.83 kWh,1.78,16.02,0
IN-KL-ELC-16312174,18-01-2023,IN_KL_TVM,Apartment,4,453,19,3.77,31.49,54.89,17.46 kWh,18.98 kWh,8.71,17.26,0
IN-KL-ELC-55308456,18-01-2023,IN_KL_ERN,Independent House,3,1341,8,5.83,31.63,50.94,14.01 kWh,12.6 kWh,-10.06,16.43,0
IN-KL-ELC-84084868,01-01-2023,IN_KL_ERN,Independent House,4,1638,19,7.45,27.51,83.21,null,19.36 kWh,1.36,16.43,0
IN-KL-ELC-88899266,09-01-2023,IN_KL_ERN,Independent House,2,915,20,3.81,28.01,56.28,14.8 kWh,17.50958052826851 kWh,18.31,16.43,1
IN-KL-ELC-48444075,28-01-2023,IN_KL_TVM,Independent House,5,1207,13,6.7,31.55,61.07,18.7 kWh,27.44995349938364 kWh,46.79,16.89,1
IN-KL-ELC-62444510,10-01-2023,IN_KL_TVM,Apartment,5,2590,13,4.06,28.32,63.52,15.88 kWh,15.52 kWh,-2.27,17.26,0
IN-KL-ELC-18798620,06-01-2023,IN_KL_ERN,Apartment,2,2704,7,5.32,31.07,84.8,12.03 kWh,11.47 kWh,-4.66,16.61,1
IN-KL-ELC-18259127,21-01-2023,IN_KL_ALP,Apartment,4,1173,10,5.58,31.44,74.75,15.62 kWh,15.14 kWh,-3.07,16.47,0
IN-KL-ELC-24470126,28-01-2023,IN_KL_TVM,Apartment,3,1902,19,7.82,31.66,60.1,19.49 kWh,20.54 kWh,5.39,17.26,0
IN-KL-ELC-70260372,28-01-2023,IN_KL_ERN,Independent House,5,1054,8,4.03,26.24,65.45,13.7 kWh,14.96 kWh,9.2,16.43,0
IN-KL-ELC-12730697,04-01-2023,IN_KL_ALP,Independent House,4,760,8,4.75,22.12,45.5,12.31 kWh,11.93 kWh,-3.09,17.83,1
IN-KL-ELC-53303907,07-01-2023,IN_KL_TVM,Apartment,2,1690,20,3.99,34.14,78.42,16.35 kWh,17.17 kWh,5.02,17.26,0
IN-KL-ELC-36393561,11-01-2023,IN_KL_ERN,Apartment,3,908,6,5.67,28.01,63,null,10.93 kWh,-12.35,16.61,1
IN-KL-ELC-16312174,07-01-2023,IN_KL_TVM,Apartment,4,453,19,3.77,32.8,65.57,17.79 kWh,17.9 kWh,0.62,17.26,0
IN-KL-ELC-68910616,28-01-2023,IN_KL_ERN,Independent House,6,2161,14,3.39,23.25,46.82,15.5 kWh,15.6 kWh,0.65,16.43,0
IN-KL-ELC-32146342,24-01-2023,IN_KL_TVM,Apartment,5,1080,18,3.74,29.51,64.13,17.67 kWh,18.97 kWh,7.36,17.26,0
IN-KL-ELC-69251424,03-01-2023,IN_KL_ALP,Apartment,5,1037,16,4.19,30.25,58.39,17.51 kWh,17.19 kWh,-1.83,16.47,0
IN-KL-ELC-54818514,27-01-2023,IN_KL_TVM,Apartment,4,2273,8,4.16,27.75,82.61,13.06 kWh,15.42 kWh,18.07,17.26,1
IN-KL-ELC-94916279,12-01-2023,IN_KL_ERN,Independent House,4,1351,14,3.63,29.19,74.21,15.04 kWh,null,8.18,16.43,1
IN-KL-ELC-17803969,08-01-2023,IN_KL_TVM,Independent House,1,1784,6,6.09,30.71,75.07,11.09 kWh,9.47 kWh,-14.61,16.89,1
IN-KL-ELC-88053158,30-01-2023,IN_KL_ALP,Apartment,5,1052,7,5.22,35.81,46.38,null,15.58 kWh,-4.88,16.47,0
IN-KL-ELC-22581767,10-01-2023,IN_KL_ALP,Independent House,5,665,11,3.83,27.67,49.48,14.88 kWh,15.11 kWh,1.55,17.83,0
IN-KL-ELC-47499604,15-01-2023,IN_KL_TVM,Independent House,6,2758,8,6.17,31.26,81.81,17.55 kWh,22.427361082617814 kWh,27.79,16.89,1
IN-KL-ELC-76472409,23-01-2023,IN_KL_TVM,Villa,1,788,12,3.63,23.6,68.46,10.15 kWh,10.37 kWh,2.17,16.02,1
IN-KL-ELC-59571121,25-01-2023,IN_KL_ALP,Independent House,4,2160,19,7.58,32.08,65.59,20.56 kWh,38.297779371861274 kWh,86.27,17.83,1
IN-KL-ELC-55788629,18-01-2023,IN_KL_ERN,Apartment,5,1166,15,7.36,36.82,62.83,21.46 kWh,22.98 kWh,7.08,16.61,1
IN-KL-ELC-52124353,02-01-2023,IN_KL_ALP,Apartment,6,1775,7,3.98,29.64,83.73,15.15 kWh,16.27 kWh,7.39,16.47,0
IN-KL-ELC-23402388,16-01-2023,IN_KL_TVM,Independent House,4,2441,21,6.64,29.64,81.09,null,null,38.79,16.89,1
IN-KL-ELC-77385755,04-01-2023,IN_KL_TVM,Apartment,4,484,19,6.29,27.09,69,18.14 kWh,15.53 kWh,-14.39,17.26,0
IN-KL-ELC-28357262,11-01-2023,IN_KL_ERN,Independent House,4,821,17,6.91,28.18,52.81,18.22 kWh,18.8 kWh,3.18,16.43,0
IN-KL-ELC-11744587,17-01-2023,IN_KL_ERN,Independent House,3,2004,6,6.42,31.26,68.06,13.67 kWh,15.34 kWh,12.22,16.43,0
IN-KL-ELC-53791402,15-01-2023,IN_KL_TVM,Apartment,3,1634,10,6.35,26.65,61.69,14.02 kWh,12.39 kWh,-11.63,17.26,0
IN-KL-ELC-39118096,04-01-2023,IN_KL_ERN,Apartment,3,1256,8,5.18,29.53,46.64,13.09 kWh,12.6 kWh,-3.74,16.61,0
IN-KL-ELC-85075398,07-01-2023,IN_KL_ALP,Apartment,6,845,7,6.52,32.26,54.78,17.72 kWh,27.733430425049917 kWh,56.51,16.47,1
IN-KL-ELC-41369910,06-01-2023,IN_KL_TVM,Apartment,3,1883,15,3.08,33.45,76.43,14.79 kWh,14.89 kWh,0.68,17.26,0
IN-KL-ELC-85195758,01-01-2023,IN_KL_TVM,Apartment,2,1932,21,6.24,29.24,56.93,17.23 kWh,17.41 kWh,1.04,17.26,0
IN-KL-ELC-97400511,24-01-2023,IN_KL_TVM,Independent House,2,2458,6,7.21,31.71,70.49,13.24 kWh,13.69 kWh,3.4,16.89,0
IN-KL-ELC-43990463,30-01-2023,IN_KL_ALP,Independent House,3,1361,21,7.24,32.31,73.16,19.95 kWh,33.20422395802225 kWh,66.44,17.83,1
IN-KL-ELC-24549986,25-01-2023,IN_KL_ERN,Independent House,3,1784,16,6,32.07,55.83,17.12 kWh,17.43 kWh,1.81,16.43,0
IN-KL-ELC-72602002,25-01-2023,IN_KL_ALP,Villa,3,2543,7,3.68,33.6,50.92,12.34 kWh,12.29 kWh,-0.41,16.26,0
IN-KL-ELC-42959637,26-01-2023,IN_KL_TVM,Independent House,4,2052,8,7.5,30.85,51.7,16.23 kWh,15.66 kWh,-3.51,16.89,0
IN-KL-ELC-39624628,21-01-2023,IN_KL_TVM,Independent House,2,1836,13,4.2,30.89,45.74,null,13.89 kWh,4.59,16.89,0
IN-KL-ELC-34946504,29-01-2023,IN_KL_TVM,Apartment,5,838,18,4.92,38.8,83.81,21.16 kWh,21.49 kWh,1.56,17.26,0
IN-KL-ELC-13631731,06-01-2023,IN_KL_ALP,Apartment,3,1207,9,3.03,31.96,77.84,12.27 kWh,12.26 kWh,-0.08,16.47,0
IN-KL-ELC-22581767,15-01-2023,IN_KL_ALP,Independent House,5,665,11,3.83,35.34,65.94,16.66 kWh,24.504104302912346 kWh,47.08,17.83,1
IN-KL-ELC-11063908,11-01-2023,IN_KL_ALP,Apartment,4,1364,9,7.04,26.53,48.33,15.2 kWh,null,-2.04,16.47,1
IN-KL-ELC-82309447,06-01-2023,IN_KL_ERN,Independent House,6,2795,15,7.46,30.62,71.62,20.84 kWh,31.02896762926632 kWh,48.89,16.43,1
IN-KL-ELC-18259127,15-01-2023,IN_KL_ALP,Apartment,4,1173,10,5.58,35.52,64.92,16.55 kWh,24.788103786363166 kWh,49.78,16.47,1
IN-KL-ELC-86007090,01-01-2023,IN_KL_ERN,Villa,3,1437,13,6.88,27.45,66.71,15.59 kWh,14.43 kWh,-7.44,16.28,0
IN-KL-ELC-15010047,18-01-2023,IN_KL_ALP,Apartment,5,2769,11,6.27,27.23,73.24,16.53 kWh,15.31 kWh,-7.38,16.47,0
IN-KL-ELC-69243360,18-01-2023,IN_KL_ERN,Villa,2,2649,7,3.85,33.59,52.08,11.32 kWh,22.30556355733913 kWh,97.05,16.28,1
IN-KL-ELC-39624628,26-01-2023,IN_KL_TVM,Independent House,2,1836,13,4.2,31.62,56.2,13.42 kWh,12.62 kWh,-5.96,16.89,0
IN-KL-ELC-40605535,24-01-2023,IN_KL_ALP,Independent House,1,755,12,3.42,27.42,60.68,10.64 kWh,11.95 kWh,12.31,17.83,1
IN-KL-ELC-69429201,14-01-2023,IN_KL_ERN,Villa,2,749,12,5.97,32.63,68.27,14.63 kWh,13.48 kWh,-7.86,16.28,0
IN-KL-ELC-30481737,22-01-2023,IN_KL_ERN,Independent House,6,1967,7,7.3,30.18,54.47,17.77 kWh,26.90899101347274 kWh,51.43,16.43,1
IN-KL-ELC-52691692,16-01-2023,IN_KL_ERN,Villa,2,1018,10,3.4,29.44,68.24,11.35 kWh,13.41 kWh,18.15,16.28,1
IN-KL-ELC-81023113,18-01-2023,IN_KL_TVM,Independent House,1,2076,14,6.17,28.76,75.35,13.57 kWh,23.653492302781835 kWh,74.31,16.89,1
IN-KL-ELC-29961688,28-01-2023,IN_KL_TVM,Apartment,3,810,21,5.07,21.59,74,15.42 kWh,14.07 kWh,-8.75,17.26,0
IN-KL-ELC-79615917,13-01-2023,IN_KL_ALP,Independent House,6,612,8,6.32,32.21,84.08,17.92 kWh,16.6 kWh,-7.37,17.83,0
IN-KL-ELC-94107124,26-01-2023,IN_KL_TVM,Independent House,3,1980,7,6.32,28.88,64.47,13.46 kWh,12.66 kWh,-5.94,16.89,0
IN-KL-ELC-34698377,06-01-2023,IN_KL_ERN,Independent House,3,1330,18,3.19,23.88,54.62,13.8 kWh,25.9295038842251 kWh,87.89,16.43,1
IN-KL-ELC-29058334,25-01-2023,IN_KL_ERN,Independent House,2,816,17,5.71,30.28,48.97,15.7 kWh,12.83 kWh,-18.28,16.43,1
IN-KL-ELC-58140776,20-01-2023,IN_KL_ERN,Villa,6,1760,21,3.97,25.5,69.52,18.77 kWh,17.75 kWh,-5.43,16.28,0
IN-KL-ELC-11593573,15-01-2023,IN_KL_ERN,Independent House,1,622,20,5.89,29.16,78.61,15.52 kWh,15.25 kWh,-1.74,16.43,0
IN-KL-ELC-24470126,12-01-2023,IN_KL_TVM,Apartment,3,1902,19,7.82,28.53,50.11,18.6 kWh,17.3 kWh,-6.99,17.26,0
IN-KL-ELC-84637965,19-01-2023,IN_KL_ALP,Villa,5,2284,8,4.4,30.87,69.8,14.99 kWh,19.47604688549154 kWh,29.93,16.26,1
IN-KL-ELC-94916279,20-01-2023,IN_KL_ERN,Independent House,4,1351,14,3.63,21.31,70.23,13.24 kWh,12.69 kWh,-4.15,16.43,0
IN-KL-ELC-11995462,06-01-2023,IN_KL_ERN,Apartment,3,1094,12,5.16,24.41,79.21,13.35 kWh,13.44 kWh,0.67,16.61,0
IN-KL-ELC-29961688,13-01-2023,IN_KL_TVM,Apartment,3,810,21,5.07,20.01,47.88,15.01 kWh,15.01 kWh,0,17.26,0
IN-KL-ELC-86684493,22-01-2023,IN_KL_ALP,Independent House,5,2781,14,3.77,33.19,73.04,17.21 kWh,15.8 kWh,-8.19,17.83,0
IN-KL-ELC-48945390,26-01-2023,IN_KL_ERN,Independent House,2,2034,13,6.02,29.42,67.52,14.34 kWh,21.029520353802226 kWh,46.65,16.43,1
IN-KL-ELC-65980523,10-01-2023,IN_KL_TVM,Apartment,2,1885,7,5.79,33.89,59.9,null,13.57 kWh,5.19,17.26,0
IN-KL-ELC-55367153,21-01-2023,IN_KL_TVM,Independent House,1,490,12,6.27,31.64,73.56,null,15.52 kWh,14.71,16.89,0
IN-KL-ELC-22187937,11-01-2023,IN_KL_ERN,Apartment,1,2787,18,5.41,24.54,53.28,13.46 kWh,22.177887386527836 kWh,64.77,16.61,1
IN-KL-ELC-36789255,10-01-2023,IN_KL_ERN,Independent House,1,1818,15,3.9,33.45,64.98,null,12.48 kWh,-4.88,16.43,0
IN-KL-ELC-46350732,19-01-2023,IN_KL_ERN,Villa,4,2210,10,4.78,32.12,60.19,15.15 kWh,22.977334145716885 kWh,51.67,16.28,1
IN-KL-ELC-95979298,09-01-2023,IN_KL_ERN,Villa,3,511,12,2.95,30.59,83.16,13.03 kWh,14.95 kWh,14.74,16.28,0
IN-KL-ELC-69957771,04-01-2023,IN_KL_ERN,Apartment,2,2148,13,5.81,28.64,64.37,14.02 kWh,20.21202768924834 kWh,44.17,16.61,1
IN-KL-ELC-77358119,03-01-2023,IN_KL_TVM,Villa,2,577,7,6.6,27.9,59.6,null,14.51 kWh,17.02,16.02,0
IN-KL-ELC-38289970,02-01-2023,IN_KL_TVM,Apartment,1,2029,12,4.03,38.61,81.37,13.01 kWh,null,20.6,17.26,1
IN-KL-ELC-98421014,24-01-2023,IN_KL_TVM,Independent House,5,2082,8,5.51,29.1,56.67,15.42 kWh,14.96 kWh,-2.98,16.89,0
IN-KL-ELC-87381788,18-01-2023,IN_KL_TVM,Apartment,1,2433,9,6.06,22.44,57.75,10.64 kWh,12.15 kWh,14.19,17.26,1
IN-KL-ELC-68653537,27-01-2023,IN_KL_ALP,Villa,4,589,19,4.61,33.5,84.09,18.64 kWh,20.69 kWh,11,16.26,0
IN-KL-ELC-44100893,06-01-2023,IN_KL_ERN,Villa,2,889,6,2.98,18.74,58.02,8.09 kWh,6.56 kWh,-18.91,16.28,1
IN-KL-ELC-55788629,22-01-2023,IN_KL_ERN,Apartment,5,1166,15,7.36,37,65.54,21.51 kWh,22.78 kWh,5.9,16.61,1
IN-KL-ELC-77021273,02-01-2023,IN_KL_TVM,Independent House,2,2377,14,7.63,32.06,75.25,null,18.2 kWh,10.17,16.89,0
IN-KL-ELC-29961688,09-01-2023,IN_KL_TVM,Apartment,3,810,21,5.07,25.59,71.12,16.49 kWh,15.84 kWh,-3.94,17.26,0
IN-KL-ELC-39971016,22-01-2023,IN_KL_ERN,Independent House,6,617,8,5.6,28.91,60.69,16.52 kWh,15.65 kWh,-5.27,16.43,0
IN-KL-ELC-61949394,14-01-2023,IN_KL_ERN,Independent House,2,1004,14,5.67,22.54,81.06,12.92 kWh,12.92 kWh,0,16.43,0
IN-KL-ELC-70933352,29-01-2023,IN_KL_ALP,Independent House,3,765,11,5.43,24.37,70.19,13.2 kWh,20.863654846988393 kWh,58.06,17.83,1
IN-KL-ELC-22347643,21-01-2023,IN_KL_ALP,Apartment,1,2453,15,6.78,28.68,70.23,14.35 kWh,26.675371428016962 kWh,85.89,16.47,1
IN-KL-ELC-93121901,15-01-2023,IN_KL_ERN,Villa,6,1367,7,5.36,27.68,55.86,15.7 kWh,13.73 kWh,-12.55,16.28,0
IN-KL-ELC-11995462,12-01-2023,IN_KL_ERN,Apartment,3,1094,12,5.16,27.85,50.29,14.1 kWh,14.47 kWh,2.62,16.61,0
IN-KL-ELC-85575226,14-01-2023,IN_KL_ERN,Villa,1,1959,10,6.86,27.96,53.95,12.55 kWh,11.65 kWh,-7.17,16.28,0
IN-KL-ELC-19889775,15-01-2023,IN_KL_ERN,Apartment,1,1963,10,7.11,31.09,57.86,13.35 kWh,14.58 kWh,9.21,16.61,0
IN-KL-ELC-38129282,18-01-2023,IN_KL_TVM,Apartment,1,2558,19,3.39,26.74,70.08,12.83 kWh,14.01 kWh,9.2,17.26,0
IN-KL-ELC-79975445,09-01-2023,IN_KL_ERN,Villa,5,2520,15,6.56,19.42,75.94,15.87 kWh,14.5 kWh,-8.63,16.28,0
IN-KL-ELC-27570538,16-01-2023,IN_KL_ALP,Apartment,5,683,18,4.76,28.61,82.84,null,17.91 kWh,-1.49,16.47,0
IN-KL-ELC-19196471,10-01-2023,IN_KL_TVM,Apartment,4,1080,7,5.09,31.42,69.46,14.16 kWh,15.96 kWh,12.71,17.26,0
IN-KL-ELC-70413205,29-01-2023,IN_KL_ALP,Independent House,6,762,19,5.22,35.09,46.74,21.92 kWh,32.44197925283462 kWh,48,17.83,1
IN-KL-ELC-17803969,22-01-2023,IN_KL_TVM,Independent House,1,1784,6,6.09,34.36,76.5,11.69 kWh,11.21 kWh,-4.11,16.89,1
IN-KL-ELC-13794510,29-01-2023,IN_KL_TVM,Independent House,5,2791,20,4.67,23.41,63.7,17.31 kWh,18.4 kWh,6.3,16.89,0
IN-KL-ELC-56776126,08-01-2023,IN_KL_ALP,Apartment,3,1435,18,4.74,28.72,65.95,16.04 kWh,15.82 kWh,-1.37,16.47,0
IN-KL-ELC-57340243,04-01-2023,IN_KL_ERN,Independent House,6,823,7,5.16,25.95,79.07,15.14 kWh,14.53 kWh,-4.03,16.43,0
IN-KL-ELC-60884000,28-01-2023,IN_KL_ERN,Villa,2,2588,18,4.43,27.66,62.7,14.5 kWh,17.482190245654706 kWh,20.57,16.28,1
IN-KL-ELC-67499236,22-01-2023,IN_KL_ERN,Apartment,2,2184,10,6.07,23.03,69.97,12.05 kWh,12.56 kWh,4.23,16.61,0
IN-KL-ELC-19440794,02-01-2023,IN_KL_ALP,Independent House,2,1172,14,7.09,37.01,62.18,17.26 kWh,18.22 kWh,5.56,17.83,0
IN-KL-ELC-31013601,20-01-2023,IN_KL_TVM,Villa,6,1638,16,4.77,27.93,84.75,18.39 kWh,24.933128907362445 kWh,35.58,16.02,1
IN-KL-ELC-29028684,19-01-2023,IN_KL_TVM,Apartment,4,2467,6,3,34.72,81.41,12.8 kWh,13.81 kWh,7.89,17.26,0
IN-KL-ELC-16244556,05-01-2023,IN_KL_TVM,Independent House,6,2420,18,5,33.35,82.94,20.85 kWh,null,61.4,16.89,1
IN-KL-ELC-32146342,22-01-2023,IN_KL_TVM,Apartment,5,1080,18,3.74,32.26,83.13,18.41 kWh,20.53 kWh,11.52,17.26,0
IN-KL-ELC-86586193,27-01-2023,IN_KL_ERN,Independent House,1,1121,11,3.94,22.29,62.08,9.82 kWh,11.72 kWh,19.35,16.43,1
IN-KL-ELC-57340243,10-01-2023,IN_KL_ERN,Independent House,6,823,7,5.16,26.3,65.19,15.23 kWh,14.33 kWh,-5.91,16.43,0
IN-KL-ELC-68820657,11-01-2023,IN_KL_ERN,Independent House,4,833,6,4.72,33.66,45.53,13.97 kWh,26.640480324078677 kWh,90.7,16.43,1
IN-KL-ELC-50932588,24-01-2023,IN_KL_ERN,Apartment,6,578,10,7.84,28.63,81.64,18.79 kWh,20.63 kWh,9.79,16.61,0
IN-KL-ELC-86586193,12-01-2023,IN_KL_ERN,Independent House,1,1121,11,3.94,29.66,47.56,11.05 kWh,12.16 kWh,10.05,16.43,0
IN-KL-ELC-28177529,20-01-2023,IN_KL_TVM,Independent House,4,2653,11,3.3,29.9,69.11,13.9 kWh,13.17 kWh,-5.25,16.89,0
IN-KL-ELC-19889775,24-01-2023,IN_KL_ERN,Apartment,1,1963,10,7.11,31.23,48.81,13.37 kWh,null,-6.51,16.61,1
IN-KL-ELC-73898526,30-01-2023,IN_KL_TVM,Independent House,5,1725,11,7.14,23.47,84.41,null,null,-3.72,16.89,1
IN-KL-ELC-90250627,03-01-2023,IN_KL_TVM,Independent House,4,2147,9,3.54,25.67,80.78,null,11.64 kWh,-7.1,16.89,1
IN-KL-ELC-50289690,08-01-2023,IN_KL_ALP,Independent House,2,1200,14,5.6,23.65,73.83,13.12 kWh,11.85 kWh,-9.68,17.83,1
IN-KL-ELC-89650018,21-01-2023,IN_KL_TVM,Independent House,4,528,16,7.35,27.47,81.82,18.0 kWh,20.06 kWh,11.44,16.89,0
IN-KL-ELC-77021273,18-01-2023,IN_KL_TVM,Independent House,2,2377,14,7.63,29.19,82.66,null,15.2 kWh,-3.98,16.89,0
IN-KL-ELC-22875680,01-01-2023,IN_KL_TVM,Independent House,6,2516,8,5.68,28.57,49.77,16.5 kWh,23.402425597209344 kWh,41.83,16.89,1
IN-KL-ELC-19678055,03-01-2023,IN_KL_ERN,Independent House,1,1955,20,5.8,26.13,46.57,14.74 kWh,14.02 kWh,-4.88,16.43,0
IN-KL-ELC-98944256,06-01-2023,IN_KL_ERN,Apartment,2,658,8,2.64,33.14,76.49,10.66 kWh,15.402880418837944 kWh,44.49,16.61,1
IN-KL-ELC-98200480,02-01-2023,IN_KL_ALP,Apartment,3,690,11,4.47,28.16,78.87,13.32 kWh,13.79 kWh,3.53,16.47,0
IN-KL-ELC-90949802,25-01-2023,IN_KL_ERN,Apartment,5,849,18,3.87,28,82.32,17.37 kWh,23.524879208552925 kWh,35.43,16.61,1
IN-KL-ELC-85446912,17-01-2023,IN_KL_TVM,Apartment,6,1812,6,6.76,30.58,54.9,17.12 kWh,16.1 kWh,-5.96,17.26,0
